Date,City,Country,Parent_Category,Sub_Category,Sales,Profit,Lat,Lon
2025-01-23,Halifax,Canada,Tech Support,Cloud Migration,6672.884539585003,1847.3567007079394,44.6488,-63.5752
2025-12-24,Toronto,Canada,Data Analytics,Quantivo AI License,16916.795105955625,4342.771302942914,43.6532,-79.3832
2025-11-11,Vancouver,Canada,Apparel,Streetwear Cap,17767.18017008851,8798.05291358673,49.2827,-123.1207
2025-03-05,Miami,United States,Data Analytics,BI Dashboard Pro,22169.569774622814,9357.198204659466,25.7617,-80.1918
2025-12-10,Halifax,Canada,Apparel,Streetwear Cap,16915.382406801964,4697.114151939043,44.6488,-63.5752
2025-06-29,New York,United States,Apparel,Streetwear Cap,19827.88193618224,8930.21127711078,40.7128,-74.006
2026-01-06,Miami,United States,Apparel,ME-U Hoodie,1569.0218484146988,665.70604002923,25.7617,-80.1918
2026-01-07,Vancouver,Canada,Data Analytics,Quantivo AI License,4324.981504951286,1233.4013218078367,49.2827,-123.1207
2025-08-07,Dartmouth,Canada,Data Analytics,Quantivo AI License,3860.52718222651,1762.03221636037,44.6662,-63.5682
2025-10-24,Dartmouth,Canada,Apparel,Streetwear Cap,22267.284250229954,8593.572483717398,44.6662,-63.5682
2026-02-03,Halifax,Canada,Apparel,ME-U Hoodie,12674.569202094683,5997.108575216786,44.6488,-63.5752
2025-04-26,Miami,United States,Tech Support,24/7 Support,20830.568592878582,6765.856573622762,25.7617,-80.1918
2025-07-31,Dartmouth,Canada,Apparel,Streetwear Cap,24698.764800047782,8455.388358671145,44.6662,-63.5682
2025-11-17,Miami,United States,Apparel,ME-U Hoodie,24279.469174403603,9420.990101819487,25.7617,-80.1918
2025-03-29,Toronto,Canada,Data Analytics,Quantivo AI License,13344.578399569082,2778.3768348207227,43.6532,-79.3832
2025-09-29,Halifax,Canada,Data Analytics,BI Dashboard Pro,8416.641211691101,2864.4117860143742,44.6488,-63.5752
2025-08-07,Vancouver,Canada,Apparel,Streetwear Cap,13804.621733545948,6348.265300711128,49.2827,-123.1207
2025-05-18,Toronto,Canada,Tech Support,24/7 Support,13203.113225724806,3296.876580021094,43.6532,-79.3832
2025-08-31,Miami,United States,Apparel,ME-U Hoodie,24984.07297228297,10837.883922883737,25.7617,-80.1918
2025-01-09,Halifax,Canada,Apparel,ME-U Hoodie,9446.32866285648,3850.287064094498,44.6488,-63.5752
2025-10-01,Dartmouth,Canada,Apparel,Streetwear Cap,19105.81574018755,5669.32471537689,44.6662,-63.5682
2025-07-21,Miami,United States,Data Analytics,BI Dashboard Pro,14587.08626257704,5994.957398445232,25.7617,-80.1918
2025-10-31,Halifax,Canada,Data Analytics,Server Rack,2915.51610703835,785.4439657505167,44.6488,-63.5752
2026-01-26,New York,United States,Data Analytics,Quantivo AI License,1785.3091984721596,606.4262307074995,40.7128,-74.006
2025-10-18,Vancouver,Canada,Apparel,Streetwear Cap,19582.25995334583,8772.13704649043,49.2827,-123.1207
2025-06-26,Miami,United States,Tech Support,24/7 Support,21805.130158974458,6027.719120507963,25.7617,-80.1918
2025-08-01,Halifax,Canada,Data Analytics,Quantivo AI License,2177.5004029276142,679.7643329490905,44.6488,-63.5752
2025-01-12,Toronto,Canada,Tech Support,24/7 Support,15573.871191187412,3916.519729899098,43.6532,-79.3832
2025-09-21,New York,United States,Tech Support,Cloud Migration,4782.6201563865525,1202.6552150918633,40.7128,-74.006
2025-05-07,Dartmouth,Canada,Tech Support,Cloud Migration,9346.998920100335,4065.1824069197996,44.6662,-63.5682
2025-11-12,Halifax,Canada,Apparel,Streetwear Cap,3861.6058012567514,1103.8986406510157,44.6488,-63.5752
2025-03-12,Miami,United States,Data Analytics,BI Dashboard Pro,6536.855578504215,2239.7827480160904,25.7617,-80.1918
2025-06-26,Toronto,Canada,Apparel,Streetwear Cap,19035.197563840236,3820.8059837778746,43.6532,-79.3832
2025-04-17,New York,United States,Apparel,Streetwear Cap,21070.060305935494,10010.97388145819,40.7128,-74.006
